"Propiedades de la ubicación"
"Nombre de la ubicación = Sin nombre"
"Identificación de ubicación = 7df69ec8-72e3-4a21-a514-9c4efcb05c96"
""
"Propiedades del informe"
"Hora de inicio = 2023-03-30 13:58:22"
"Duración = 34.20:01:38"
"Lecturas = 1675"
"Intervalo de tiempo = 02:00:00"
""
"Propiedades de los instrumentos"
"Modelo del dispositivo = VuLink Cellular"
"Dispositivo SN = 969970"
"Firmware del dispositivo = 1.70"
""
"Propiedades de los instrumentos"
"Modelo del dispositivo = Aqua TROLL 500"
"Dispositivo SN = 1003230"
""
"Propiedades del registro"
"Nombre del registro = Registro_2023-03-30"
"Tipo de log = Lineal"
"Número de archivo de registro = 3"
"Identificación del registro = fbbb46ba-3945-4e73-ad13-7c5844b2b255"
"Habilitado empaquetado de registros = True"
"Intervalo = 00:30:00"
""
""
"","VuLink Cellular 969970",,,,,,"Aqua TROLL 500 1003230",,,,,,
"Fecha Hora","Latitud (°) (969970)","Longitud (°) (969970)","Elevación (m) (969970)","Temperatura (°C) (969970)","Capacidad de la batería (%) (969970)","Presión barométrica (mm Hg) (969970)","Concentración RDO (mg/L) (1003620)","Nitrato (NO₃⁻ - N) (mg/L) (983048)","pH (pH) (982972)","ORP (mV) (982972)","Conductividad real (µS/cm) (1001986)","Temperatura (°C) (1003230)","Profundidad (ft) (997881)"
"2023-03-31 10:30:00","41.74724","1.844162","290","18.72325","99.16351","737.1858","10.17852","0.1949786","9.027358","156.6799","389.1476","16.09755","2.60553"
"2023-03-31 11:00:00","41.7472","1.844145","298.6","19.64561","99.15694","737.3147","12.12143","0.2003947","9.039832","152.9248","79.7989","16.19515","2.594268"
"2023-03-31 11:30:00","41.74713","1.844228","307.4","20.40709","99.15273","737.2775","12.14251","0.2011319","9.049884","152.2","80.7481","16.30482","2.611599"
"2023-03-31 12:00:00","41.74714","1.844233","270.8","21.11494","99.14746","737.0359","12.18151","0.2059892","9.050205","149.6775","234.6828","16.42193","2.615856"
"2023-03-31 12:30:00","41.74733","1.844608","183.6","21.91933","99.14194","737.0023","11.58953","0.2173116","9.059362","151.9449","226.0825","16.39885","2.618267"
"2023-03-31 13:00:00","41.74725","1.844253","275.4","22.60574","99.13379","736.6714","12.07425","0.2359784","9.079611","149.9016","44.62813","16.46453","2.620326"
"2023-03-31 13:30:00","41.74726","1.844295","302.8","23.27069","99.12589","736.6337","12.41893","0.2415973","9.07946","150.3499","54.8726","16.563","2.610742"
"2023-03-31 14:00:00","41.74708","1.844153","293.1","23.93565","99.12011","736.4987","12.35772","0.2564739","9.078321","148.6857","57.80309","16.6322","2.61262"
"2023-03-31 14:30:00","41.7473","1.844135","323.6","24.69713","99.10827","736.2702","12.30526","0.2619762","9.084661","151.8257","303.9578","16.68365","2.610975"
"2023-03-31 15:00:00","41.74736","1.844215","285.3","23.92492","99.10117","736.176","12.35444","0.2652953","9.074979","149.6918","304.9469","16.67776","2.622071"
"2023-03-31 15:30:00","41.74708","1.844277","289.3","23.64607","99.09486","735.8607","12.34897","0.2765362","9.08241","151.3679","373.9343","16.70911","2.604229"
"2023-03-31 16:00:00","41.74707","1.844277","288","24.19305","99.08986","735.9744","12.30942","0.2800603","9.082416","151.4132","360.2893","16.7837","2.644776"
"2023-03-31 16:30:00","41.74718","1.84433","308.3","24.19305","99.08512","735.5917","12.32386","0.2767561","9.085825","149.8301","354.6708","16.91022","2.62854"
"2023-03-31 17:00:00","41.74662","1.844758","312.4","24.20377","99.07776","735.5164","12.31461","0.2745838","9.090144","151.1724","345.3189","16.96807","2.620167"
"2023-03-31 17:30:00","41.74715","1.844437","289.1","24.0858","99.07224","735.3586","12.34688","0.2721137","9.085842","150.9578","344.2352","17.02698","2.635117"
"2023-03-31 18:00:00","41.74707","1.844288","288.8","23.23852","99.06592","735.3333","12.40961","0.2796527","9.094794","151.6492","333.5822","17.03228","2.628712"
"2023-03-31 18:30:00","41.74718","1.84429","300.8","23.48519","99.06119","735.4293","12.39271","0.2728313","9.090384","150.2164","332.8437","17.06374","2.628938"
"2023-03-31 19:00:00","41.7474","1.844012","293.8","25.82327","99.05487","735.5749","12.37571","0.2657474","9.101827","151.499","351.9792","17.08832","2.633949"
"2023-03-31 19:30:00","41.74711","1.844225","282.9","24.36465","99.04909","735.6428","12.40748","0.2579706","9.095808","151.5086","348.6119","17.03","2.622212"
"2023-03-31 20:00:00","41.74711","1.844225","282.9","22.90604","99.0454","735.6796","12.36884","0.2512411","9.093473","150.9197","359.5579","16.98688","2.622434"
"2023-03-31 20:30:00","41.74731","1.84402","327.1","20.27839","99.03278","735.7517","12.40318","0.2460625","9.081182","152.7555","360.0632","16.90092","2.630956"
"2023-03-31 21:00:00","41.74693","1.844222","276.1","19.54908","99.02751","735.9039","12.42522","0.2476251","9.081105","151.5348","358.0332","16.84766","2.634316"
"2023-03-31 21:30:00","41.74712","1.844185","301.2","19.07718","99.02015","736.1867","12.34758","0.2465464","9.080022","151.8757","495.0473","16.83094","2.622135"
"2023-03-31 22:00:00","41.74718","1.844263","289.1","18.26207","99.01094","736.4945","12.16735","0.2398264","9.081228","150.4643","332.1297","16.79954","2.628623"
"2023-03-31 22:30:00","41.74714","1.84427","280.9","17.73654","99.00516","736.7499","12.14102","0.2331443","9.079791","152.1142","335.8817","16.77124","2.637559"
"2023-03-31 23:00:00","41.74709","1.844213","281.4","17.83307","98.99963","736.8571","12.08673","0.2250508","9.063543","152.5076","334.4586","16.7149","2.626998"
"2023-03-31 23:30:00","41.74694","1.8442","272.8","17.02868","98.99411","736.9233","11.98916","0.2353104","9.063375","149.2365","395.5594","16.70238","2.630671"
"2023-04-01 00:00:00","41.74696","1.844303","268.2","16.0956","98.98779","736.9957","11.97569","0.2440451","9.042926","151.9759","393.1468","16.68257","2.633485"
"2023-04-01 00:30:00","41.74706","1.84444","278.1","15.07672","98.98254","737.0391","11.97901","0.2551569","9.042424","149.5607","393.0137","16.62454","2.640701"
"2023-04-01 01:00:00","41.74706","1.84444","278.1","14.17581","98.96597","737.1923","11.88123","0.2590538","9.038251","152.1761","401.0189","16.60033","2.639277"
"2023-04-01 01:30:00","41.74634","1.844148","231","13.71463","98.96043","737.3956","11.81653","0.2588089","9.038587","149.1411","402.1464","16.59081","2.636099"
"2023-04-01 02:00:00","41.74711","1.84421","282.4","13.2749","98.95387","737.4826","11.75711","0.2638125","9.029912","151.2487","402.9127","16.57522","2.628075"
"2023-04-01 02:30:00","41.74714","1.844155","282.6","12.84589","98.94781","737.5676","11.6502","0.2616381","9.024309","153.5471","396.5151","16.54561","2.6278"
"2023-04-01 03:00:00","41.74714","1.844337","321.5","12.50269","98.94308","737.4791","11.56339","0.2681879","9.025097","149.5226","359.8438","16.51382","2.632669"
"2023-04-01 03:30:00","41.74702","1.844157","282.5","12.15949","98.93492","737.642","11.5171","0.2561846","9.024437","150.5239","355.3996","16.47378","2.627033"
