"Propiedades de la ubicación"
"Nombre de la ubicación = Unnamed"
"Identificación de ubicación = 99b19a22-da0c-4101-883b-8835c7c43bcb"
""
"Propiedades del informe"
"Hora de inicio = 2023-03-30 12:50:25"
"Duración = 34.21:09:35"
"Lecturas = 1676"
"Intervalo de tiempo = 02:00:00"
""
"Propiedades de los instrumentos"
"Modelo del dispositivo = VuLink Cellular"
"Dispositivo SN = 970485"
"Firmware del dispositivo = 1.70"
""
"Propiedades de los instrumentos"
"Modelo del dispositivo = Aqua TROLL 500"
"Dispositivo SN = 1002779"
""
"Propiedades del registro"
"Nombre del registro = Log_2023-03-30"
"Tipo de log = Lineal"
"Número de archivo de registro = 2"
"Identificación del registro = 6536ec03-c5f3-4c88-8b6f-1b61dd267e56"
"Habilitado empaquetado de registros = True"
"Intervalo = 00:30:00"
""
""
"","VuLink Cellular 970485",,,"Aqua TROLL 500 1002779",,,,,,,
"Fecha Hora","Temperatura (°C) (970485)","Capacidad de la batería (%) (970485)","Presión barométrica (mm Hg) (970485)","Turbidez (NTU) (1001626)","Fluorescencia de BGA-PE (algas verdiazules-ficoeritrina) (RFU) (1005408)","Fluorescencia de BGA-PC (algas verdiazules-ficocianina) (RFU) (1008102)","Fluorescencia de clorofila-a (RFU) (1005345)","Temperatura (°C) (1002779)","Voltaje externo (V) (1002779)","Presión (psi) (997880)","Profundidad (ft) (997880)"
"2023-03-31 23:30:00","17.14666","98.50589","736.7127","0.2190069","0","0.5764776","2.438166","16.66074","15.705","1.325712","3.685949"
"2023-04-01 00:00:00","16.37445","98.50274","736.7424","0.1084738","0","0.5479989","2.512065","16.63974","15.696","1.325708","3.686038"
"2023-04-01 00:30:00","15.40919","98.50063","736.7864","0.2212555","0","0.6022692","3.002357","16.57703","15.714","1.32877","3.693099"
"2023-04-01 01:00:00","14.52974","98.49695","736.9213","0","0","0.5561339","3.100694","16.54501","15.687","1.32455","3.683371"
"2023-04-01 01:30:00","14.06856","98.49484","737.1262","0.2814591","0","0.5324458","2.366378","16.54865","15.687","1.332157","3.700989"
"2023-04-01 02:00:00","13.62883","98.49195","737.2192","0.2036855","0","0.5048498","2.481213","16.53387","15.705","1.327532","3.690244"
"2023-04-01 02:30:00","13.232","98.48985","737.2698","0.06777803","0","0.5236474","2.358204","16.50369","15.696","1.325694","3.685926"
"2023-04-01 03:00:00","12.8888","98.48774","737.1947","0.1388849","0","0.5425118","2.795129","16.47726","15.687","1.331676","3.699881"
"2023-04-01 03:30:00","12.60994","98.48459","737.3249","0","0","0.5768074","2.815556","16.44528","15.687","1.327373","3.689948"
"2023-04-01 04:00:00","12.50269","98.48248","737.0864","0","0","0.5390552","2.610717","16.42673","15.687","1.32937","3.694624"
"2023-04-01 04:30:00","12.53487","98.47932","737.3648","0.1904976","0","0.5277939","2.845818","16.40598","15.687","1.332604","3.701944"
"2023-04-01 05:00:00","12.78154","98.47749","737.3071","0","0","0.5113871","2.793081","16.38907","15.696","1.331332","3.699081"
"2023-04-01 05:30:00","12.82444","98.47433","737.3115","0.2090876","0","0.4754489","2.662459","16.32492","15.696","1.327555","3.690296"
"2023-04-01 06:00:00","12.50269","98.47196","737.3525","0.4753151","0","0.531781","2.481957","16.2804","15.705","1.329349","3.694428"
"2023-04-01 06:30:00","11.82701","98.46828","737.341","0","0","0.5345374","2.288509","16.24927","15.705","1.329963","3.695845"
"2023-04-01 07:00:00","11.54816","98.46486","737.3513","0","0","0.5499522","2.376173","16.18988","15.705","1.327569","3.69039"
"2023-04-01 07:30:00","11.33366","98.45434","737.4719","0","0","0.5224091","2.779954","16.12366","15.669","1.326783","3.688668"
"2023-04-01 08:00:00","11.41946","98.45091","737.7001","0","0","0.4895314","2.952813","16.09555","15.696","1.324236","3.682712"
"2023-04-01 08:30:00","11.58033","98.44881","737.7385","0.4022096","0","0.492943","2.597569","16.05902","15.687","1.331661","3.699887"
"2023-04-01 09:00:00","12.73864","98.44592","737.9363","109.7758","0","0.553037","2.724431","16.02936","15.705","1.328197","3.6919"
"2023-04-01 09:30:00","13.12475","98.44355","737.9548","0.2371598","0","0.5486572","2.399649","16.00162","15.714","1.328","3.691437"
"2023-04-01 10:00:00","13.68245","98.44039","737.9594","0","0","0.5467784","2.45436","15.9827","15.687","1.328321","3.691867"
"2023-04-01 10:30:00","15.08744","98.43803","738.0158","0","0","0.5327035","2.286446","15.99567","15.705","1.329741","3.695338"
"2023-04-01 11:00:00","15.73095","98.43487","738.0206","0","0","0.5882075","1.399296","16.03421","15.705","1.331131","3.698606"
"2023-04-01 11:30:00","15.38774","98.4325","738.0909","0.09352612","0","0.5376421","1.431858","16.09473","15.687","1.330441","3.696774"
"2023-04-01 12:00:00","14.85149","98.4304","737.8417","0.2284127","0","0.5368229","2.232313","16.2514","15.687","1.330298","3.696625"
"2023-04-01 12:30:00","15.7095","98.42751","737.6098","0","0","0.5228531","2.275991","16.27649","15.696","1.329315","3.694357"
"2023-04-01 13:00:00","16.28865","98.4254","737.1216","9.00935","0","0.5788549","1.979964","16.30896","15.705","1.330573","3.697319"
"2023-04-01 13:30:00","17.12521","98.42198","736.7877","0","0","0.5755482","2.181515","16.30954","15.714","1.323684","3.681283"
"2023-04-01 14:00:00","18.187","98.41961","736.1849","0","0","0.6065413","1.902797","16.35095","15.714","1.323364","3.680539"
"2023-04-01 14:30:00","19.54908","98.41619","736.0178","0","0","0.6064895","1.695779","16.64645","15.696","1.327617","3.690439"
"2023-04-01 15:00:00","19.79576","98.41409","735.8865","0.279104","0","0.5838712","1.79109","16.35892","15.705","1.324935","3.684314"
"2023-04-01 15:30:00","21.02914","98.41093","735.4772","0.05234241","0","0.5366759","1.584754","16.76544","15.696","1.332925","3.702744"
"2023-04-01 16:00:00","20.9648","98.40883","735.1084","0.02038439","0","0.5782526","1.612394","16.93704","15.696","1.326708","3.688343"
